BENGALI,1001,10
ENGLISH,1101,11
ARABIC,1201,12
HISTORY,1501,15
ISLAMIC HISTORY & CULTURE,1601,16
PHILOSOPHY,1701,17
ISLAMIC STUDIES,1801,18
POLITICAL SCIENCE,1901,19
SOCIOLOGY,2001,20
SOCIAL WORK,2101,21
ECONOMICS,2201,22
MARKETING,2301,23
FINANCE & BANKING,2401,24
ACCOUNTING,2501,25
MANAGEMENT,2601,26
PHYSICS,2701,27
CHEMISTRY,2801,28
BIO CHEMISTRY,2901,29
BOTANY,3001,30
ZOOLOGY,3101,31
GEOGRAPHY AND ENVIRONMENT,3201,32
SOIL SCIENCE,3301,33
PSYCHOLOGY,3401,34
HOME ECONOMICS,3501,35
STATISTICS,3601,36
MATHEMATICS,3701,37
LIBRARY & INFORMATION SCIENCE ,3801,38
